,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
57,Q1836424,CFB Comox / Comox Valley Airport,CYQQ,YQQ,,-124.887,49.7108,25.6032504,,401664,412301,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=2310025301,https://en.wikipedia.org/wiki/CFB_Comox,YQQ,CYQQ,,"20,244",(2010)
58,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Wikipedia:Verifiability,,,,,
59,Q3813650,Brașov Airport,LROV,,237589,25.5243,45.7071,530,,,,,https://en.wikipedia.org/wiki/Bra%C8%99ov-Ghimbav_International_Airport,BRV[citation needed],LROV[citation needed],,,
60,Q1837097,Charles M. Schulz–Sonoma County Airport,KSTS,STS,178127,-122.81277777778,38.508888888889,39.0144768,1828.8,479718,479718,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,https://en.wikipedia.org/wiki/Charles_M._Schulz%E2%80%93Sonoma_County_Airport,STS,KSTS,"397,787","79,231",(2017)
61,Q1032113,CFB Bagotville,CYBG,YBG,147361,-70.9969,48.3306,159.1059132,,,,,https://en.wikipedia.org/wiki/CFB_Bagotville,,,,,
62,Q17023852,Ankang Fuqiang Airport,ZLAK,AKA,2629906,108.87453,32.756944,,,,257017,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,https://en.wikipedia.org/wiki/Ankang_Fuqiang_Airport,AKA,ZLAK,,,
63,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Mtemere_Airstrip,,,,,
64,Q3913178,Saint-Augustin Airport,CYIF,YIF,,-58.6575,51.209722222222,5.7912114,,,,,https://en.wikipedia.org/wiki/Saint-Augustin_Airport,YIF,CYIF,,"1,469",(2010)
65,Q3274023,Laguindingan Airport,RPMY,CGY,728402,124.45722222222,8.6125,58,,2310473,2310473,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_the_Philippines#Passenger_traffic_(2016%E2%80%93present),https://en.wikipedia.org/wiki/Laguindingan_Airport,CGY,RPMY,"1,664,643","13,344",(2022)
66,Q7498345,Shirdi Airport,VASD,SAG,,74.37888889,19.68861111,587,,,,,https://en.wikipedia.org/wiki/Shirdi_Airport,SAG,VASD,"1,76,787","1,716",(april
67,Q838219,Paine Field,KPAE,PAE,827957,-122.281,47.9061,184.7091636,2746.248,779556,779556,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,https://en.wikipedia.org/wiki/Paine_Field,PAE,KPAE,"377,000","115,201",(2020)
68,Q25418977,Jericoacoara airport,SBJE,JJD,24977,-40.358055555556,-2.9066666666667,27,,109588,307168,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Comte._Ariston_Pessoa_Regional_Airport,JJD,SBJE,,,
69,Q47542529,Heze Airport,ZSHZ,HZA,8795939,115.73688889,35.21183333,,,,367081,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,https://en.wikipedia.org/wiki/Heze_Mudan_Airport,HZA,ZSHZ,"367,081","3,600",(2021)
