,destination,canonical_destination
5627,https://en.wikipedia.org/wiki/Norman_Y._Mineta_San_Jose_International_Airport,https://en.wikipedia.org/wiki/San_Jose_International_Airport
5644,https://en.wikipedia.org/wiki/Faa%27a_International_Airport,https://en.wikipedia.org/wiki/Faa%27a_International_Airport
5662,https://en.wikipedia.org/wiki/Daniel_Oduber_Quir%C3%B3s_International_Airport,https://en.wikipedia.org/wiki/Guanacaste_Airport
5713,https://en.wikipedia.org/wiki/McAllen_Miller_International_Airport,https://en.wikipedia.org/wiki/McAllen_Miller_International_Airport
5773,https://en.wikipedia.org/wiki/Aspen%E2%80%93Pitkin_County_Airport,https://en.wikipedia.org/wiki/Aspen/Pitkin_County_Airport
5792,https://en.wikipedia.org/wiki/Westchester_County_Airport,https://en.wikipedia.org/wiki/Westchester_County_Airport
5793,https://en.wikipedia.org/wiki/Jacksonville_International_Airport,https://en.wikipedia.org/wiki/Jacksonville_International_Airport
5795,https://en.wikipedia.org/wiki/Norfolk_International_Airport,https://en.wikipedia.org/wiki/Norfolk_International_Airport
5796,https://en.wikipedia.org/wiki/Rhode_Island_T._F._Green_International_Airport,https://en.wikipedia.org/wiki/Rhode_Island_T._F._Green_International_Airport
5914,https://en.wikipedia.org/wiki/Melbourne_Airport,https://en.wikipedia.org/wiki/Melbourne_Airport
5917,https://en.wikipedia.org/wiki/King_Abdulaziz_International_Airport,https://en.wikipedia.org/wiki/King_Abdulaziz_International_Airport
6034,https://en.wikipedia.org/wiki/Ernest_A._Love_Field,https://en.wikipedia.org/wiki/Ernest_A._Love_Field
6047,https://en.wikipedia.org/wiki/Eastern_Sierra_Regional_Airport,https://en.wikipedia.org/wiki/Eastern_Sierra_Regional_Airport
6050,https://en.wikipedia.org/wiki/Yampa_Valley_Airport,https://en.wikipedia.org/wiki/Yampa_Valley_Airport
6055,https://en.wikipedia.org/wiki/Friedman_Memorial_Airport,https://en.wikipedia.org/wiki/Friedman_Memorial_Airport
6089,https://en.wikipedia.org/wiki/Del_Norte_County_Airport,https://en.wikipedia.org/wiki/Del_Norte_County_Airport
6210,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,https://en.wikipedia.org/wiki/Austin%E2%80%93Bergstrom_International_Airport
6251,https://en.wikipedia.org/wiki/Boise_International_Airport,https://en.wikipedia.org/wiki/Boise_Airport
6265,https://en.wikipedia.org/wiki/Minneapolis%E2%88%92Saint_Paul_International_Airport,https://en.wikipedia.org/wiki/Minneapolis%E2%80%93Saint_Paul_International_Airport
6272,https://en.wikipedia.org/wiki/Honolulu_International_Airport,https://en.wikipedia.org/wiki/Daniel_K._Inouye_International_Airport
6278,https://en.wikipedia.org/wiki/Bob_Hope_Airport,https://en.wikipedia.org/wiki/Hollywood_Burbank_Airport
6363,https://en.wikipedia.org/wiki/Phoenix-Mesa_Gateway_Airport,https://en.wikipedia.org/wiki/Phoenix%E2%80%93Mesa_Gateway_Airport
6455,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,https://en.wikipedia.org/wiki/Kempegowda_International_Airport
6513,https://en.wikipedia.org/wiki/San_Bernardino_International_Airport,https://en.wikipedia.org/wiki/San_Bernardino_International_Airport
6548,https://en.wikipedia.org/wiki/Rome%E2%80%93Fiumicino,https://en.wikipedia.org/wiki/Leonardo_da_Vinci%E2%80%93Fiumicino_Airport
6651,https://en.wikipedia.org/wiki/Christchurch_Airport,https://en.wikipedia.org/wiki/Christchurch_Airport
6676,https://en.wikipedia.org/wiki/Southwest_Oregon_Regional_Airport,https://en.wikipedia.org/wiki/Southwest_Oregon_Regional_Airport
