,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
83,Q3885354,Mount Isa Airport,YBMA,ISA,172,139.48861111111,-20.663888888889,341,,220345,254206,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Mount_Isa_Airport,ISA,YBMA,"217,525","5,376",(2010-2011[1])
84,Q1528678,Murray Island Airport,YMUI,MYI,,144.055,-9.9147222222222,88,,,,,https://en.wikipedia.org/wiki/Murray_Island_Airport,MYI,YMAE,,,
85,Q7053104,Normanton Airport,YNTN,NTN,,141.07,-17.685,15,,,,,https://en.wikipedia.org/wiki/Normanton_Airport,NTN,YNTN,,,
86,Q2903084,Oakey Army Aviation Centre,YBOK,OKY,,151.73527777778,-27.411388888889,406,,,,,https://en.wikipedia.org/wiki/Oakey_Army_Aviation_Centre,OKY,YBOK,,,
87,Q7128049,Palm Island Airport,YPAM,PMK,2455,146.58138888889,-18.755277777778,13,,28818,41468,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Palm_Island_Airport,PMK,YPAM,,,
88,Q2567209,Whitsunday Coast Airport,YBPN,PPP,3614,148.55166666667,-20.495,24,,433414,448575,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Whitsunday_Coast_Airport,PPP,YBPN,,,
89,Q7272021,Quilpie Airport,YQLP,ULP,595,144.25722222222,-26.608611111111,201,,,,,https://en.wikipedia.org/wiki/Quilpie_Airport,ULP,YQLP,,,
90,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Richmond_Airport,,,,,
91,Q2501155,Rockhampton Airport,YBRK,ROK,63151,150.475,-23.381666666667,10,,571543,777212,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Rockhampton_Airport,ROK,YBRK,,"10,002",(2016/2017)
92,Q8215768,Roma Airport,YROM,RMA,6848,148.77472222222,-26.545,315,,86207,239765,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Roma_Airport,RMA,YROM,"243,901","6,377",(fy
