,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
38,Q752537,Aswan International Airport,HESN,ASW,267913,32.819722,23.964167,201,,,2355531,https://centreforaviation.com/analysis/reports/egypt-air-travels-sensitivity-to-geopolitical-events-shows-in-falling-international-seat-numbers-274771,https://en.wikipedia.org/wiki/Aswan_International_Airport,ASW,HESN,,,
39,Q461793,Cairo International Airport,HECA,CAI,9606916,31.405555555556,30.121944444444,116,4000,,17546221,http://www.ehcaan.com/statistics.aspx#day,https://en.wikipedia.org/wiki/Cairo_International_Airport,CAI,HECA,"14,711,500",,(2012)
40,Q385191,Hurghada International Airport,HEGN,HRG,160901,33.799167,27.178056,15,4000,,8062652,http://www.ehcaan.com/statistics.aspx#day,https://en.wikipedia.org/wiki/Hurghada_International_Airport,HRG,HEGN,,,
41,Q1347322,Luxor International Airport,HELX,LXR,202232,32.706389,25.670833,89,,,2313339,http://www.ehcaan.com/statistics.aspx#day,https://en.wikipedia.org/wiki/Luxor_International_Airport,LXR,HELX,,,
42,Q123222,Marsa Alam International Airport,HEMA,RMF,1918,34.583611,25.556944,61,3000,,1491793,http://www.ehcaan.com/statistics.aspx#day,https://en.wikipedia.org/wiki/Marsa_Alam_International_Airport,RMF,HEMA,"1,089,000",,(2012)
43,Q651557,Marsa Matruh International Airport,HEMM,MUH,108774,27.221667,31.325278,28,3000,,115297,http://www.ehcaan.com/statistics.aspx#day,https://en.wikipedia.org/wiki/Marsa_Matruh_International_Airport,MUH,HEMM,,,
44,Q326268,Sharm el-Sheikh International Airport,HESH,SSH,73000,34.394722,27.977222,43,3081,,8693990,http://www.ehcaan.com/statistics.aspx#day,https://en.wikipedia.org/wiki/Sharm_El_Sheikh_International_Airport,SSH,HESH,"8,693,990[1]",,(2010)
45,Q7490460,Sharq Al-Owainat Airport,HEOW,GSQ,,28.7207,22.5806,258,,,46332,http://www.ehcaan.com/statistics.aspx#day,https://en.wikipedia.org/wiki/Sharq_El_Owainat_Airport,GSQ,HEOW,,,
46,Q4115512,Sohag International Airport,HEMK,HMB,193931,31.739330555556,26.339919444444,98,,,715605,http://www.ehcaan.com/statistics.aspx#day,https://en.wikipedia.org/wiki/Sohag_International_Airport,HMB,HESG,311000,,(2012)
47,Q690636,Taba International Airport,HETB,TCP,800,34.778056,29.587778,736,,,452710,http://www.ehcaan.com/statistics.aspx#day,https://en.wikipedia.org/wiki/Taba_International_Airport,TCP,HETB,,,
48,Q36171,Al Abraq International Airport,HLLQ,LAQ,250000,21.964166666667,32.788611111111,657,3600,,,,https://en.wikipedia.org/wiki/Al_Abraq_International_Airport,LAQ,HLLQ,,,
49,Q44553,Benina International Airport,HLLB,BEN,,20.270833,32.0975,132,3576,,,,https://en.wikipedia.org/wiki/Benina_International_Airport,BEN,HLLB,,,
50,Q25741,Ghadames Airport,HLTD,LTD,,9.715333,30.151667,341,,,,,https://en.wikipedia.org/wiki/Ghadames_Airport,LTD,HLTD,,,
51,Q25744,Ghat Airport,HLGT,GHT,22000,10.1425,25.1456,700,,,,,https://en.wikipedia.org/wiki/Ghat_Airport,GHT,HLGT,,,
52,Q30542,Kufra Airport,HLKF,AKF,,23.3133,24.1767,417,3660,,,,https://en.wikipedia.org/wiki/Kufra_Airport,AKF,HLKF,,,
53,Q41292,Misrata Airport,HLMS,MRA,3601853,15.059722222222,32.325555555556,18,3400,,,,https://en.wikipedia.org/wiki/Misrata_Airport,MRA,HLMS,,,
54,Q41293,Sabha Airport,HLLS,SEB,2,14.472525,26.986963888889,424,,,,,https://en.wikipedia.org/wiki/Sabha_Airport,SEB,HLLS,,,
55,Q25783,Tobruk Airport,HLTQ,TOB,1613749,23.906111,31.86,,,,,,https://en.wikipedia.org/wiki/Tobruk_Airport,TOB,HLTQ,,,
56,Q45000,Mitiga International Airport,HLLM,MJI,1293016,13.277778,32.894445,11,3376,,,,https://en.wikipedia.org/wiki/Mitiga_International_Airport,MJI,HLLM,,,
57,Q44588,Tripoli International Airport,HLLT,TIP,1293016,13.156666666667,32.669444444444,80.1625578,3600,,,,https://en.wikipedia.org/wiki/Tripoli_International_Airport,TIP,HLLT,"3,070,200",,(2008)
58,Q30524,Ubari Airport,HLUB,QUB,,12.8231,26.5672,465.7353168,,,,,https://en.wikipedia.org/wiki/Ubari_Airport,QUB,HLUB,,,
59,Q1416280,Agadir–Al Massira Airport,GMAD,AGA,421844,-9.4113888888889,30.3225,68.8849356,3200,2009040,2009040,https://www.onda.ma/content/download/12764/171595/version/1/fichier/CP+trafic+ann%C3%A9e+2021+VF.pdf,https://en.wikipedia.org/wiki/Agadir%E2%80%93Al_Massira_Airport,AGA,GMAD,"2,008,465[1]",,(2019)
60,Q1370928,Cherif Al Idrissi Airport,GMTA,AHU,56716,-3.8394444444444,35.176944444444,27.1272534,2500,92121,92121,https://www.onda.ma/content/download/13540/176818/version/28/fichier/Les+statistiques+du+trafic+a%C3%A9rien+du+mois+de+d%C3%A9cembre+2022.xlsx,https://en.wikipedia.org/wiki/Cherif_Al_Idrissi_Airport,AHU,GMTA,,,
61,Q12691880,Beni Mellal Airport,GMMD,BEM,192676,-6.3161111111111,32.401944444444,518.16102,,764,23628,http://www.onda.ma/content/download/10568/97346/version/31/fichier/Communiqu%C3%A9+stat+2019.pdf,https://en.wikipedia.org/wiki/Beni_Mellal_Airport,BEM,GMMD,,,
62,Q955433,Mohammed V International Airport,GMMN,CMN,3499000,-7.581667,33.364167,475.7937366,3720,10313365,10313365,https://www.onda.ma/content/download/13540/176818/version/28/fichier/Les+statistiques+du+trafic+a%C3%A9rien+du+mois+de+d%C3%A9cembre+2022.xlsx,https://en.wikipedia.org/wiki/Mohammed_V_International_Airport,CMN,GMMN,"7,637,643[1]","67,074",
63,Q1432091,Moulay Ali Cherif Airport,GMFK,ERH,92374,-4.3983333333333,31.948178,1045,,53371,54226,http://www.onda.ma/content/download/10568/97346/version/31/fichier/Communiqu%C3%A9+stat+2019.pdf,https://en.wikipedia.org/wiki/Moulay_Ali_Cherif_Airport,ERH,GMFK,,,
64,Q1432053,Mogador Airport,GMMI,ESU,77966,-9.6816666666667,31.3975,117,,120443,120443,http://www.onda.ma/content/download/10568/97346/version/31/fichier/Communiqu%C3%A9+stat+2019.pdf,https://en.wikipedia.org/wiki/Essaouira-Mogador_Airport,ESU,GMMI,,,
65,Q1431302,Fes-Saïss Airport,GMFF,FEZ,1112072,-4.9777777777778,33.927222222222,579.12114,,1418950,1418950,http://www.onda.ma/content/download/10568/97346/version/31/fichier/Communiqu%C3%A9+stat+2019.pdf,https://en.wikipedia.org/wiki/F%C3%A8s%E2%80%93Sa%C3%AFs_Airport,FEZ,GMFF,"1,417,881[1]",,(2019)
66,Q3084356,Ifrane Airport,GMFI,,14659,-5.15278,33.50528,1663.9064754,,,,,https://en.wikipedia.org/wiki/Ifrane_Airport,,GMFI,,,
67,Q429304,Marrakesh Menara Airport,GMMX,RAK,928850,-8.0408333333333,31.608611111111,467.868921,3100,6399145,6399145,http://www.onda.ma/content/download/10568/97346/version/31/fichier/Communiqu%C3%A9+stat+2019.pdf,https://en.wikipedia.org/wiki/Marrakesh_Menara_Airport,RAK,GMMX,"4,903,681","~36,750",
68,Q1432126,Nador International Airport,GMMW,NDR,161726,-3.0282055555556,34.988780555556,175,,773472,836742,https://www.onda.ma/content/download/13540/176818/version/28/fichier/Les+statistiques+du+trafic+a%C3%A9rien+du+mois+de+d%C3%A9cembre+2022.xlsx,https://en.wikipedia.org/wiki/Nador_International_Airport,NDR,GMMW,"772,371[1]",,(2019)
69,Q1432275,Ouarzazate Airport,GMMZ,OZZ,71067,-6.9094444444444,30.939166666667,1153,3100,136007,136007,https://www.onda.ma/content/download/13540/176818/version/28/fichier/Les+statistiques+du+trafic+a%C3%A9rien+du+mois+de+d%C3%A9cembre+2022.xlsx,https://en.wikipedia.org/wiki/Ouarzazate_Airport,OZZ,GMMZ,"136,007[1]",,(2019)
70,Q1382309,Angads Airport,GMFO,OUD,494252,-1.9238888888889,34.787222222222,467.868921,3000,702004,855911,http://www.onda.ma/content/download/12062/143825/version/6/fichier/Communiqu%C3%A9_trafic++decembre+2020+v+fr.pdf,https://en.wikipedia.org/wiki/Angads_Airport,OUD,GMFO,"701,913[1]",,(2019)
71,Q1432573,Rabat-Salé Airport,GMME,RBA,850403,-6.75138889,34.05138889,84.1249656,3500,1101117,1101117,http://www.onda.ma/content/download/10568/97346/version/31/fichier/Communiqu%C3%A9+stat+2019.pdf,https://en.wikipedia.org/wiki/Rabat%E2%80%93Sal%C3%A9_Airport,RBA,GMME,1,,(2019)
72,Q7508744,Sidi Ifni Airport,GMMF,SII,,-10.180277777778,29.368888888889,58,,,,,https://en.wikipedia.org/wiki/Sidi_Ifni_Airport,SII,GMMF,,,
73,Q2486800,Tan Tan Airport,GMAT,TTA,73209,-11.161388888889,28.448333333333,199,,13009,13009,http://www.onda.ma/content/download/10568/97346/version/31/fichier/Communiqu%C3%A9+stat+2019.pdf,https://en.wikipedia.org/wiki/Tan_Tan_Airport,TTA,GMAT,,,
74,Q1433022,Tangier Ibn Battouta Airport,GMTT,TNG,947952,-5.9168888888889,35.726916666667,21,,1356664,1432175,https://www.onda.ma/content/download/13540/176818/version/28/fichier/Les+statistiques+du+trafic+a%C3%A9rien+du+mois+de+d%C3%A9cembre+2022.xlsx,https://en.wikipedia.org/wiki/Tangier_Ibn_Battouta_Airport,TNG,GMTT,"1,353,860[1]",,(2019)
75,Q1433058,Sania Ramel Airport,GMTN,TTU,380787,-5.319975,35.594363,3.3528066,2300,39982,187777,http://www.onda.ma/content/download/10568/97346/version/31/fichier/Communiqu%C3%A9+stat+2019.pdf,https://en.wikipedia.org/wiki/Sania_Ramel_Airport,TTU,GMTN,"15,039","1,147",(2008)
76,Q12695647,Zagora Airport,GMAZ,OZG,40067,-5.85722,30.320278,736.093449,,17156,17156,http://www.onda.ma/content/download/10568/97346/version/31/fichier/Communiqu%C3%A9+stat+2019.pdf,https://en.wikipedia.org/wiki/Zagora_Airport,OZG,GMAZ,,,
77,Q2903017,Aweil Airport,HSAW,,40054,27.4,8.77,418,,,,,https://en.wikipedia.org/wiki/Aweil_Airport,n/a,HSAW,,,
78,Q1122958,Juba International Airport,HSSJ,JUB,525953,31.60111667,4.87200556,461,3100,,,,https://en.wikipedia.org/wiki/Juba_International_Airport,JUB,HJJJ,,,
79,Q1432004,Malakal Airport,HSSM,MAK,147450,31.652222222222,9.5588888888889,393,,,,,https://en.wikipedia.org/wiki/Malakal_Airport,MAK,HJMK,,,
