aircraft_osky;acft_icao;acft_class;seymour_proxy
SR20;SR20;PP;zzz
A339;A339;WB;A339
B463;B463;RJ;B463
SLG2;SLG2;PP;zzz
C130;C130;TP;zzz
PAY1;PAY1;TP;zzz
PA32;PA32;PP;P28B
C402;C402;PP;zzz
S92;S92;HE;zzz
CL85;CRJ2;PJ;CRJ2
DIMO;DIMO;PP;zzz
AS65;AS65;HE;zzz
A189;A189;HE;zzz
HA4T;HA4T;PJ;zzz
C206;C206;PP;C208
JS32;JS32;TP;zzz
FA20;FA20;PJ;CRJ2
B212;B212;HE;zzz
T6;T6;PP;zzz
ASTR;ASTR;PJ;zzz
C425;C425;TP;zzz
DH8B;DH8B;TP;DH8B
S2P;S2P;PP;zzz
EV97;EV97;PP;zzz
C210;C210;PP;C208
PAY2;PAY2;TP;zzz
BE76;BE76;PP;zzz
AA5;AA5;PP;zzz
E175;E75S;RJ;E75S
PC24;PC24;PJ;CRJ2
P32R;P32R;PP;zzz
T34P;T34P;PP;zzz
EC75;EC75;HE;zzz
NG5;NG5;PP;zzz
BE33;BE33;PP;zzz
FA8X;FA8X;PJ;CRJ7
B77F;B77L;WB;B77L
 A320;A320;NB;A320
DA62;DA62;PP;zzz
A32N;A20N;NB;A20N
KODI;KODI;TP;zzz
B462;B462;RJ;B462
LJ70;LJ70;PJ;CRJ7
DH2T;DH2T;TP;DHC2
A400;A400;TP;A140
P208;P208;PP;zzz
RV7;RV7;PP;zzz
AS32;AS32;HE;zzz
H60;H60;HE;zzz
ULAC;ULAC;OTHER;zzz
C212;C212;TP;zzz
CRUZ;CRUZ;PP;zzz
TB20;TB20;PP;PA31
C82R;C82R;PP;zzz
BE55;BE55;PP;BE55
AC50;AC50;PP;zzz
PA30;PA30;PP;zzz
F70;F70;RJ;F70
A320-251N;A20N;NB;A20N
T206;T206;PP;T204
C310;C310;PP;C310
SW3;SW3;TP;SW4
LJ55;LJ55;PJ;CRJ2
BE10;BE10;TP;zzz
B783;B788;WB;B788
EA55;zzz;OTHER;zzz
GALX;GALX;PJ;CRJ7
ECHO;ECHO;PP;zzz
P28T;P28T;PP;P28B
E120;E120;TP;E120
B505;zzz;OTHER;zzz
M600;M600;PP;zzz
PA28;P28A;PP;P28B
C72R;C72R;PP;C172
TOBA;TOBA;PP;zzz
A321-231 ;A321;NB;A321
A210;A210;PP;C172
RV12;RV12;PP;zzz
H750;zzz;OTHER;zzz
GLF6;GLF6;PJ;GLF4
M20T;M20T;PP;zzz
AS55;AS55;HE;zzz
C77R;C77R;PP;zzz
ST75;ST75;PP;zzz
P8;P8;OTHER;B738
GLF3;GLF3;PJ;GLF4
J328;J328;RJ;J328
T38;T38;OTHER;zzz
AC95;AC95;TP;zzz
BN2P;BN2P;PP;BN2P
EPIC;EPIC;TP;zzz
GA8;GA8;PP;zzz
B728;B738;NB;B738
P28B;P28B;PP;P28B
C177;C177;PP;C172
AP32;zzz;OTHER;zzz
C421;C421;PP;zzz
L8;L8;PP;zzz
RV8;RV8;PP;zzz
MD83;MD83;NB;MD83
E110;E110;TP;E110
C340;C340;PP;C310
DC3;DC3;PP;DHC3
AT45;AT45;TP;AT43
SIRA;SIRA;PP;zzz
AT73;AT73;TP;AT72
C2;C2;TP;zzz
PA24;PA24;PP;P28B
P210;P210;PP;zzz
H269;H269;HE;zzz
PA18;PA18;PP;P28B
C82S;C82S;PP;zzz
L39;L39;OTHER;zzz
EUPA;EUPA;PP;zzz
A319-111;a319;NB;A319
PAT4;PAT4;TP;zzz
G400;GLF4;PJ;GLF4
SKRA;SKRA;PP;zzz
C414;C414;PP;zzz
GX;GX;PP;zzz
BREZ;BREZ;PP;zzz
PNR3;PNR3;PP;zzz
T210;T210;PP;T204
PA27;PA27;PP;AJ27
MD82;MD82;NB;MD82
H25C;H25C;PJ;zzz
SF25;SF25;PP;zzz
RV6;RV6;PP;zzz
F9DX;F900;PJ;GLF4
P51;P51;PP;zzz
G3;G3;PP;zzz
FK9;FK9;PP;zzz
B777F;B77L;WB;B77L
B138;B738;NB;B738
B777;B772;WB;B772
C172S;C172;PP;C172
V10;V10;TP;zzz
PAY3;PAY3;TP;zzz
S64;S64;HE;zzz
GL7T;GLF6;PJ;GLF4
TL20;TL20;PP;T204
C551;C551;PJ;C680
B17;B17;PP;zzz
U21;U21;TP;zzz
DHC3;DHC3;PP;DHC3
G650ER;GLF6;PJ;GLF4
CJ6;CJ6;PP;zzz
C180;C180;PP;C172
SBR1;SBR1;PJ;zzz
zzz;zzz;OTHER;zzz
680 Citation Latitude;C68A;PJ;C680
C2GA;zzz;OTHER;zzz
ATP;ATP;TP;ATP
P06T;P06T;PP;zzz
A320-214;A320;NB;A320
A124;A124;OTHER;A140
G350;GLF3;PJ;GLF4
WW24;WW24;PJ;zzz
C500;C500;PJ;zzz
RV9;RV9;PP;zzz
VL3;VL3;PP;zzz
G300;G300;PP;zzz
CH60;CH60;PP;zzz
EC55;EC55;HE;zzz
Falcon 8X;FA8X;PJ;CRJ7
C404;C404;PP;zzz
MM16;MM16;OTHER;zzz
B25;B25;PP;zzz
AN2;AN2;PP;zzz
G109;G109;PP;zzz
LJ36;LJ35;PJ;zzz
FA10;FA10;PJ;zzz
AC11;AC11;PP;zzz
A330;A332;WB;A332
B732;B732;NB;B732
K35R;K35R;OTHER;zzz
EXPL;EXPL;HE;zzz
S211;S211;OTHER;zzz
F406;F406;TP;F406
DR10;DR10;PP;zzz
RALL;RALL;PP;zzz
G100;ASTR;PJ;zzz
SF50;SF50;PJ;zzz
E737;E737;OTHER;B737
