AIRPORT;AIRPORT_COUNTRY_CODE_ISO;LATITUDE;LONGITUDE
AEY;IS;65.65694444;-18.07222222
AFA;AR;-34.58916667;-68.40055556
AFF;US;38.96972222;-104.8125
AFK;US;40.60694444;-95.86583333
AFO;US;42.71666667;-110.9333333
AFP;US;35.02388889;-80.08138889
AFW;US;32.98666667;-97.3175
AFY;TR;38.735;30.59555556
AGA;MA;30.38055556;-9.54583333
AGB;DE;48.42611111;10.93305556
AGC;US;40.35472222;-79.93
AGF;FR;44.17361111;0.59861111
AGG;PG;-4.06583333;144.0738889
AGH;SE;56.29305556;12.8625
AGK;PG;-6.40333333;143.8466667
AGL;PG;-9.34027778;149.1552778
AGN;US;57.50388889;-134.5833333
AGP;ES;36.67166667;-4.49805556
AGQ;GR;38.60416667;21.35194444
AGR;IN;27.15833333;77.96277778
AGS;US;33.36916667;-81.96444444
AGT;PY;-25.45555556;-54.84361111
AGU;MX;21.70555556;-102.3177778
AGV;VE;9.55222222;-69.23333333
AGX;IN;10.83333333;72.2
AHA;JP;26.19194444;127.6477778
AHB;SA;18.23861111;42.655
AHD;US;34.14694444;-97.12277778
AHN;US;33.94833333;-83.32694444
AHO;IT;40.63055556;8.28888889
AHS;HN;15.47277778;-84.35138889
AHT;US;51.37861111;179.2586111
AHU;MA;35.17972222;-3.83694444
AIA;US;42.05166667;-102.8066667
AIB;US;56.19;-132.4458333
AID;US;40.10861111;-85.61305556
AIK;US;33.65;-81.68472222
AIN;US;70.63055556;-160.0430556
AIT;CK;-18.85;-159.75
AIY;US;39.36;-74.46
AIZ;US;38.09833333;-92.54722222
AJA;FR;41.92416667;8.80305556
AJF;SA;29.8;40.06666667
AJJ;MR;19.73055556;-14.37444444
AJL;IN;23.84055556;92.61972222
AJN;KM;-12.12638889;44.42972222
AJR;SE;65.58611111;19.2825
AJU;BR;-10.98388889;-37.07027778
AJY;NE;16.96416667;7.99305556
AKB;US;52.22027778;-174.2069444
AKC;US;41.0375;-81.46694444
AKF;LY;24.2;23.33333333
AKI;US;60.90555556;-161.2233333
AKJ;JP;43.67083333;142.4516667
AKK;US;56.945;-154.1666667
AKL;NZ;-37.01111111;174.7991667
AKN;US;58.67777778;-156.6516667
AKO;US;40.17555556;-103.2222222
AKP;US;68.1375;-151.74
AKR;NG;7.25833333;5.30416667
AKS;SB;-8.69777778;160.6808333
AKT;CY;34.59027778;32.9875
AKX;SU;50.25;57.21666667
AKY;MM;20.13027778;92.88027778
AL1;US;34.22916667;-86.25583333
AL2;US;33.17694444;-86.78277778
AL3;US;34.86138889;-86.5575
ALA;SU;43.35;77.03333333
ALB;US;42.74583333;-73.80527778
ALC;ES;38.2825;-0.55833333
ALE;US;30.38416667;-103.6830556
ALF;NO;69.97611111;23.38055556
ALG;DZ;36.69333333;3.21722222
ALH;AU;-34.945;117.8058333
ALI;US;27.74083333;-98.02722222
ALJ;ZA;-28.56722222;16.53638889
ALK;ET;7.58333333;39.06666667
ALM;US;32.83972222;-105.99
ALN;US;38.89166667;-90.04833333
ALO;US;42.55611111;-92.39972222
ALP;SY;36.18083333;37.22666667
ALQ;BR;-29.79972222;-55.76333333
ALR;NZ;-45.21388889;169.3694444
ALS;US;37.43666667;-105.8666667
ALT;BR;-1.94055556;-54.74027778
ALU;SO;11.98333333;50.78333333
ALW;US;46.09472222;-118.2911111
ALX;US;32.91666667;-85.96666667
ALY;EG;31.18777778;29.94805556
ALZ;US;56.89583333;-154.2458333
AMA;US;35.22722222;-101.7219444
AMD;IN;23.06638889;72.62416667
AMF;PG;-4.10166667;141.6697222
AMG;PG;-4.6;143.5
AMH;ET;6.03611111;37.57694444
AMI;ID;-8.56;116.0969444
AMK;US;37.20388889;-107.8686111
AML;PA;8.26555556;-82.86555556
AMM;JO;31.7225;35.99333333
AMN;US;43.32083333;-84.68666667
AMO;TD;14.14722222;15.31444444
AMP;MG;-24.69944444;44.73305556
AMQ;ID;-3.71027778;128.0897222
AMS;NL;52.30833333;4.76805556
AMW;US;41.99416667;-93.61833333
AMX;AU;-21.74;135.24
AMY;MG;-17.68555556;45.62527778
ANA;US;33.81666667;-117.9333333
ANB;US;33.59027778;-85.85583333
ANC;US;61.16916667;-149.9852778
AND;US;34.49361111;-82.71
ANE;FR;47.49722222;-0.57277778
ANF;CL;-23.43944444;-70.44277778
ANG;FR;45.72944444;0.21972222
ANI;US;61.58166667;-159.5430556
ANK;TR;39.95166667;32.68805556
ANM;MG;-15;50.32138889
ANN;US;55.03694444;-131.5705556
ANO;MZ;-16.17777778;39.93694444
ANP;US;38.94277778;-76.56888889
ANR;BE;51.19;4.46
ANS;PE;-13.70861111;-73.35111111
ANU;;17.10833333;-61.76388889
ANV;US;62.64777778;-160.1888889
ANX;NO;69.29305556;16.14166667
AOH;US;40.70833333;-84.02666667
AOI;IT;43.6175;13.36416667
AOJ;JP;40.73472222;140.6897222
AOK;GR;35.42388889;27.14722222
AOL;AR;-29.69;-57.14861111
AOO;US;40.29722222;-78.32
AOR;MY;6.19111111;100.4038889
AOS;US;57.45472222;-153.8130556
APA;US;39.57277778;-104.8477778
APB;BO;-14.73666667;-68.41305556
APC;US;38.21222222;-122.28
