,Unnamed: 0,max_population,max_passengers19,maxpax,wdpa_link,lat,lon,iata,icao,ISO_country,ISO_continent,year_pax_round2,pax_round2,consolidated_pax,h3,pop_30k,airport_30k,pax_h3_30k,pop_70k,airport_70k,pax_h3_70k,pop_150k,airport_150k,pax_h3_150k,GDP PPP,Gini,Surf,toursim_export_share,visiting_tourists,outbound_tourists,IHDI,is_country_island
16,16.0,,,,https://en.wikipedia.org/wiki/West_Kootenay_Regional_Airport,49.2961,-117.632,YCG,CYCG,CA,NA,,,,8812d89907fffff,35462.680303026755,1.0,0.0,65795.46731562968,1.0,0.0,225852.55912767493,2.0,181072.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
17,17.0,,181072.0,181072.0,https://en.wikipedia.org/wiki/Cranbrook/Canadian_Rockies_International_Airport,49.6122,-115.782,YXC,CYXC,CA,NA,2019,181072,181072.0,8812dda365fffff,34985.94893735655,1.0,181072.0,46871.64582432124,1.0,181072.0,146184.60741786804,2.0,181072.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
18,18.0,12178.0,,,https://en.wikipedia.org/wiki/Dawson_Creek_Airport,55.7422,-120.183,YDQ,CYDQ,CA,NA,,,,8812186b4bfffff,18771.617113146534,1.0,0.0,26821.44341487791,1.0,0.0,170434.98895995205,3.0,724159.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
19,19.0,,,67550.0,https://en.wikipedia.org/wiki/Fort_Nelson_Airport,58.836388888889,-122.59694444444,YYE,CYYE,CA,NA,2012,67550,67550.0,88121512ddfffff,5254.708823223377,1.0,67550.0,5080.060826439583,1.0,67550.0,5298.702244365405,1.0,67550.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
20,20.0,,318968.0,318968.0,https://en.wikipedia.org/wiki/Fort_St._John_Airport,56.238333333333,-120.74027777778,YXJ,CYXJ,CA,NA,2019,318968,318968.0,88121e26a7fffff,31192.5516789,1.0,318968.0,48449.3421894808,1.0,318968.0,74407.20946742805,2.0,318968.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
21,21.0,90280.0,,324042.0,https://en.wikipedia.org/wiki/Kamloops_Airport,50.7025,-120.449,YKA,CYKA,CA,NA,2016,322339,322339.0,8812d006cdfffff,96353.40876923007,1.0,322339.0,115726.50520735137,1.0,322339.0,488647.42803018796,2.0,2354358.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
22,22.0,127380.0,2032019.0,2081980.0,https://en.wikipedia.org/wiki/Kelowna_International_Airport,49.9572,-119.378,YLW,CYLW,CA,NA,2019,2032019,2032019.0,8812d16327fffff,194867.34494795132,1.0,2032019.0,334696.8133846681,2.0,2072558.0,561181.3405178585,3.0,2394897.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
23,23.0,,,26483.0,https://en.wikipedia.org/wiki/Masset_Airport,54.0272,-132.125,ZMT,CZMT,CA,NA,2018,25354,25354.0,8812948eedfffff,1792.722908827458,1.0,25354.0,2431.8321256061204,1.0,25354.0,19904.814076039325,4.0,25354.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
24,24.0,90504.0,,340861.0,https://en.wikipedia.org/wiki/Nanaimo_Airport,49.0544,-123.87,YCD,CYCD,CA,NA,2016,340861,340861.0,8828dc45cdfffff,131136.67259290608,2.0,450924.0,1625330.844855747,4.0,28042737.0,4033394.3248423524,13.0,30428693.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
25,25.0,83022.0,,40539.0,https://en.wikipedia.org/wiki/Penticton_Regional_Airport,49.4625,-119.602,YYF,CYYF,CA,NA,,,40539.0,8812dec90dfffff,59049.300567294544,1.0,40539.0,272952.1458454165,2.0,2072558.0,466076.98418304895,2.0,2072558.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
26,26.0,,,,https://en.wikipedia.org/wiki/Port_Hardy_Airport,50.680555555556,-127.33333333333,YZT,CYZT,CA,NA,,,,88129b8f0dfffff,9308.996706885016,1.0,0.0,11343.149790086898,1.0,0.0,15148.76463500002,1.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
27,27.0,,,,https://en.wikipedia.org/wiki/Powell_River_Airport,49.8342,-124.5,YPW,CYPW,CA,NA,,,,8828d80549fffff,20468.15338840739,2.0,0.0,181281.4990668545,4.0,401664.0,1914799.1311443509,9.0,26591439.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
28,28.0,74003.0,474485.0,495612.0,https://en.wikipedia.org/wiki/Prince_George_Airport,53.8842,-122.677,YXS,CYXS,CA,NA,2019,474485,474485.0,8812f6c9c3fffff,87801.54419635334,1.0,474485.0,88092.0188149758,1.0,474485.0,125840.05347763338,2.0,474485.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
29,29.0,12220.0,,,https://en.wikipedia.org/wiki/Prince_Rupert_Airport,54.285833333333,-130.44472222222,YPR,CYPR,CA,NA,,,,8812b326edfffff,13376.485995917723,1.0,0.0,14236.032279837598,1.0,0.0,47230.990782865665,4.0,262228.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
30,30.0,,,,https://en.wikipedia.org/wiki/Quesnel_Airport,53.0261,-122.51,YQZ,CYQZ,CA,NA,,,,88128dadb1fffff,24025.252940563318,1.0,0.0,24809.824277742107,1.0,0.0,139212.40829074447,3.0,474485.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
31,31.0,,,,https://en.wikipedia.org/wiki/Sandspit_Airport,53.2542,-131.814,YZP,CYZP,CA,NA,,,,8812909a23fffff,2004.5684925790752,1.0,0.0,2813.0620286501417,1.0,0.0,4916.380036879873,2.0,25354.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
32,32.0,,,,https://en.wikipedia.org/wiki/Smithers_Airport,54.8253,-127.183,YYD,CYYD,CA,NA,,,,8812851a09fffff,12724.201631469381,1.0,0.0,21173.508975289176,1.0,0.0,55238.360686632615,2.0,236874.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
33,33.0,,,290653.0,https://en.wikipedia.org/wiki/Northwest_Regional_Airport_Terrace-Kitimat,54.4686,-128.578,YXT,CYXT,CA,NA,2016,236874,236874.0,8812846f35fffff,19667.782782345854,1.0,236874.0,27749.05013079002,1.0,236874.0,65871.68981089994,3.0,236874.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
34,34.0,1053.0,,,https://en.wikipedia.org/wiki/Texada/Gillies_Bay_Airport,49.6942,-124.518,YGB,CYGB,CA,NA,,,,8828d8146dfffff,24013.49900586224,2.0,0.0,219438.77212851617,4.0,401664.0,2060388.0922708425,9.0,26591439.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
35,35.0,,,,https://en.wikipedia.org/wiki/Tofino/Long_Beach_Airport,49.0822,-125.772,YAZ,CYAZ,CA,NA,,,,8828dd155dfffff,4650.970932439481,1.0,0.0,10341.841701101577,1.0,0.0,328942.9975067799,6.0,511727.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
36,36.0,631486.0,25738851.0,25936907.0,https://en.wikipedia.org/wiki/Vancouver_International_Airport,49.1947,-123.184,YVR,CYVR,CA,NA,2019,25738851,25738851.0,8828de8e15fffff,1890197.9173637533,1.0,25738851.0,2934012.7181021716,4.0,28042737.0,4102914.2293666312,13.0,30027029.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
