,airline_link,airline_name,airline_iata,airline_icao
914,https://en.wikipedia.org/wiki/Airfast_Indonesia,Airfast Indonesia,FS,AFE
915,https://en.wikipedia.org/wiki/Wings_Air,Wings Air,IW,WON
916,https://en.wikipedia.org/wiki/Pelita_Air,Pelita Air,IP,PAS
917,https://en.wikipedia.org/wiki/Super_Air_Jet,Super Air Jet,IU,SJV
918,https://en.wikipedia.org/wiki/Firefly_(airline),Firefly (airline),FY,FFM
919,https://en.wikipedia.org/wiki/Nam_Air,NAM Air,IN,LKN
920,https://en.wikipedia.org/wiki/NAM_Air,NAM Air,IN,LKN
921,https://en.wikipedia.org/wiki/TransNusa,TransNusa,8B[a],TNU
922,https://en.wikipedia.org/wiki/Aviastar_(Indonesia),Aviastar (Indonesia),MV,VIT
923,https://en.wikipedia.org/wiki/PNG_Air,PNG Air,CG,TOK
924,https://en.wikipedia.org/wiki/Susi_Air,Susi Air,SI,SQS
925,https://en.wikipedia.org/wiki/Aviastar,Aviastar-TU,4B,TUP
926,https://en.wikipedia.org/wiki/Kaltim_Airlines,Kaltim Airlines,—,—
927,https://en.wikipedia.org/wiki/Xpressair,Xpress Air,XN,XAR
928,https://en.wikipedia.org/wiki/Kalstar_Aviation,Kalstar Aviation,KD,KLS
929,https://en.wikipedia.org/wiki/Lao_Skyway,Lao Skyway,LK[1],LLL[1]
930,https://en.wikipedia.org/wiki/MASwings,MASwings,MY,MWG
931,https://en.wikipedia.org/wiki/MYAirline,MYAirline,Z9,MYM
932,https://en.wikipedia.org/wiki/Berjaya_Air,Berjaya Air,J8,BVT
933,https://en.wikipedia.org/wiki/SKS_Airways,SKS Airways,KI,SJB
934,https://en.wikipedia.org/wiki/Firefly_Airline,Firefly (airline),FY,FFM
935,https://en.wikipedia.org/wiki/Air_Thanlwin,Air Thanlwin,ST,RTL[1]
936,https://en.wikipedia.org/wiki/Mann_Yadanarpon_Airlines,Mann Yadanarpon Airlines,7Y,MYP
937,https://en.wikipedia.org/wiki/Mann_Yatanarpon_Airlines,Mann Yadanarpon Airlines,7Y,MYP
938,https://en.wikipedia.org/wiki/Air_Juan,Air Juan,,
939,https://en.wikipedia.org/wiki/AirSWIFT,AirSWIFT,T6,ATX
940,https://en.wikipedia.org/wiki/Cebgo,Cebgo,DG[1],SRQ[1]
941,https://en.wikipedia.org/wiki/PAL_Express,PAL Express,2P,GAP
942,https://en.wikipedia.org/wiki/SkyJet_Airlines,SkyJet Airlines,M8,MSJ
943,https://en.wikipedia.org/wiki/Sunlight_Air,Sunlight Air,2R,RLB
944,https://en.wikipedia.org/wiki/Platinum_Skies,List of airlines of the Philippines,,
945,https://en.wikipedia.org/wiki/Sky_Pasada,Sky Pasada,SP,WCC
946,https://en.wikipedia.org/wiki/Air_Timor,Air Timor,6C [1],—
947,https://en.wikipedia.org/wiki/Vietravel_Airlines,Vietravel Airlines,VU,VAG
948,https://en.wikipedia.org/wiki/Airnorth,Airnorth,TL,ANO
949,https://en.wikipedia.org/wiki/QantasLink,QantasLink,QF,QLKQJENWK
950,https://en.wikipedia.org/wiki/Vietnam_Air_Services_Company,Vietnam Air Services Company,0V,VFC
951,https://en.wikipedia.org/wiki/Vietnam_Air_Service_Company,Vietnam Air Services Company,0V,VFC
952,https://en.wikipedia.org/wiki/Xiamen_Air,XiamenAir,MF,CXA
953,https://en.wikipedia.org/wiki/FlyOne_Armenia,FlyOne Armenia,3F[1],FIE
954,https://en.wikipedia.org/wiki/Air_Arabia_Egypt,Air Arabia Egypt,E5,RBG
955,https://en.wikipedia.org/wiki/Vanilla_Sky_Airlines,Vanilla Sky (airline),,
956,https://en.wikipedia.org/wiki/Yanair,Yanair,YE,ANR
957,https://en.wikipedia.org/wiki/Caspian_Airlines,Caspian Airlines,—,CPN
958,https://en.wikipedia.org/wiki/Chabahar_Airlines,Chabahar Airlines,-,IRU
959,https://en.wikipedia.org/wiki/FlyPersia,FlyPersia,FP,FPI
960,https://en.wikipedia.org/wiki/Karun_Airlines,Karun Airlines,NV,IRG
961,https://en.wikipedia.org/wiki/Pouya_Air,Pouya Air,PY,PYA
962,https://en.wikipedia.org/wiki/Saha_Airlines,Saha Airlines,-,IRZ
963,https://en.wikipedia.org/wiki/Georgian_Airlines,Georgian Airways,A9,TGZ
964,https://en.wikipedia.org/wiki/SereneAir,SereneAir,ER[1],SEP[1]
965,https://en.wikipedia.org/wiki/FLYONE_Armenia,FlyOne Armenia,3F[1],FIE
966,https://en.wikipedia.org/wiki/FlyPelican,FlyPelican,FP,FRE
967,https://en.wikipedia.org/wiki/Link_Airways,Link Airways,FC,-
968,https://en.wikipedia.org/wiki/Rex_Airlines,Rex Airlines,ZL,RXA
969,https://en.wikipedia.org/wiki/Bonza_(airline),Bonza (airline),AB,BNZ
970,https://en.wikipedia.org/wiki/Jetstar_Airways,Jetstar,JQ,JST
971,https://en.wikipedia.org/wiki/Air_Link,Air Link,LZ,-
972,https://en.wikipedia.org/wiki/Eastern_Air_Services,Eastern Air Services,,
973,https://en.wikipedia.org/wiki/Air_Vanuatu,Air Vanuatu,NF,AVN
974,https://en.wikipedia.org/wiki/Alliance_Airlines,Alliance Airlines,QQ,UTY
975,https://en.wikipedia.org/wiki/Fly_Tiwi,Fly Tiwi,FT,-
976,https://en.wikipedia.org/wiki/Virgin_Australia_Regional_Airlines,Virgin Australia Regional Airlines,VA,VOZ
977,https://en.wikipedia.org/wiki/Skytrans_Airlines,Skytrans,QN,SKP
978,https://en.wikipedia.org/wiki/Nauru_Airlines,Nauru Airlines,ON,RON
979,https://en.wikipedia.org/wiki/Solomon_Airlines,Solomon Airlines,IE,SOL
980,https://en.wikipedia.org/wiki/Asia_Pacific_Airlines_(PNG),Asia Pacific Airlines (PNG),,
981,https://en.wikipedia.org/wiki/Hinterland_Aviation,Hinterland Aviation,OI,HND
982,https://en.wikipedia.org/wiki/Skytrans,Skytrans,QN,SKP
983,https://en.wikipedia.org/wiki/West_Wing_Aviation,West Wing Aviation,-,-
984,https://en.wikipedia.org/wiki/National_Jet_Express,National Jet Express,NC,JTE
985,https://en.wikipedia.org/wiki/Sharp_Airlines,Sharp Airlines,SH,-
986,https://en.wikipedia.org/wiki/Airlines_of_Tasmania,Airlines of Tasmania,FO,ATM
987,https://en.wikipedia.org/wiki/King_Island_Airlines,King Island Airlines,,
988,https://en.wikipedia.org/wiki/Southern_Airlines,Southern Airways,SO,SOU
989,https://en.wikipedia.org/wiki/Aviair,Aviair,GD,-
990,https://en.wikipedia.org/wiki/Skippers_Aviation,Skippers Aviation,HK,PY
991,https://en.wikipedia.org/wiki/Maroomba_Airlines,Maroomba Airlines,KN,-
992,https://en.wikipedia.org/wiki/Toll_Global_Express,Toll Group,,
993,https://en.wikipedia.org/wiki/Air_Chathams,Air Chathams,3C,CVA[1]
994,https://en.wikipedia.org/wiki/Barrier_Air,Barrier Air,—,GBA[1]
995,https://en.wikipedia.org/wiki/Air_Napier,List of airlines of New Zealand,,
996,https://en.wikipedia.org/wiki/Originair,Originair,OG[1],OGN[2]
997,https://en.wikipedia.org/wiki/Sunair,Sunair,ZU,SAV
998,https://en.wikipedia.org/wiki/Sounds_Air,Sounds Air,S8,SDA[1]
999,https://en.wikipedia.org/wiki/Samoa_Airways,Samoa Airways,OL,PAO
1000,https://en.wikipedia.org/wiki/Talofa_Airways,Talofa Airways,TA,TAL
1001,https://en.wikipedia.org/wiki/Air_Rarotonga,Air Rarotonga,GZ [1],RAR [2]
1002,https://en.wikipedia.org/wiki/Air_Tahiti,Air Tahiti,VT,VTA
1003,https://en.wikipedia.org/wiki/Fiji_Link,Fiji Link,FJ,FJA
