,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
571,Q598652,Biratnagar Airport,VNVT,BIR,242548,87.263888888889,26.481388888889,72,,596453,596453,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Biratnagar_Airport,BIR,VNVT,,,
572,Q1658220,Dolpa Airport,VNDP,DOP,42774,82.819166666667,28.985833333333,2499,,18463,19352,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Dolpa_Airport,DOP,VNDP,,,
573,Q1431605,Jomsom Airport,VNJS,JMO,1370,83.723611111111,28.781111111111,817.4752092,,55651,55651,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Jomsom_Airport,JMO,VNJS,,,
574,Q6310989,Jumla Airport,VNJL,JUM,,82.1933,29.2744,2347,,16947,40268,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Jumla_Airport,JUM,VNJL,,,
575,Q61066,Tribhuvan International Airport,VNKT,KTM,845767,85.357777777778,27.697222222222,1338.074634,3050,7327042,7327042,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Tribhuvan_International_Airport,KTM,VNKT,7.3,"124,255",(2019)
576,Q1043277,Tenzing-Hillary Airport,VNLK,LUA,230,86.731388888889,27.6875,2860,527,129508,146879,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Tenzing-Hillary_Airport,LUA,VNLK,,,
577,Q2330037,Manang Airport,VNMA,NGX,,84.0,28.63333333,3353,,,,,https://en.wikipedia.org/wiki/Manang_Airport,NGX,VNMA,,,
578,Q651687,Meghauli Airport,VNMG,MEY,,84.228888888889,27.577222222222,183,,,,,https://en.wikipedia.org/wiki/Meghauli_Airport,MEY,VNMG,,,
579,Q2759601,Phaplu Airport,VNPL,PPL,,86.584444444444,27.518055555556,2413,,9582,36928,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Phaplu_Airport,PPL,VNPL,,,
580,Q1432399,Pokhara Airport,VNPK,PKR,353841,83.981944444444,28.200833333333,826.6192272,,720714,720714,https://caanepal.gov.np/storage/app/uploads/public/5ff/2c3/8de/5ff2c38de0957043775720.pdf,https://en.wikipedia.org/wiki/Pokhara_Airport,PKR,VNPK,,,
