,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
121,Q8073848,Zona da Mata Regional Airport,SBZM,IZA,573285,-43.17306,-21.51306,412,2525,151471,151471,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Zona_da_Mata_Regional_Airport,IZA,SBZM,,,
122,Q2579289,Macaé Airport,SBME,MEA,234628,-41.763888888889,-22.342777777778,2,1200,86551,149622,https://transparencia.infraero.gov.br/wp-content/uploads/2020/01/Movimentos_Operacionais_2019.12.xlsx,https://en.wikipedia.org/wiki/Maca%C3%A9_Airport,MEA,SBME,"138,504","21,096",(2021)
123,Q1030902,Marília Airport,SBML,MII,240590,-49.92694444,-22.19555556,650,1700,67443,100463,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Mar%C3%ADlia_Airport,MII,SBML,"73,756","5,644",(2019)
124,Q3612811,Montes Claros Airport,SBMK,MOC,413487,-43.821944444444,-16.706111111111,668,2100,225948,375979,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Montes_Claros_Airport,MOC,SBMK,"146,416","6,821",(2021)
125,Q5244624,Presidente Prudente Airport,SBDN,PPB,222192,-51.41889,-22.17833,452,2100,318364,318364,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Presidente_Prudente_Airport,PPB,SBDN,"319,059","12,988",(2019)
126,Q2572959,Leite Lopes Airport,SBRP,RAO,711825,-47.77667,-21.13639,550,2100,908605,1240343,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Leite_Lopes_Airport,RAO,SBRP,"923,617","34,929",(2019)
127,Q733998,Rio de Janeiro/Galeão – Antonio Carlos Jobim International Airport,SBGL,GIG,6747815,-43.250555555556,-22.81,9,4000,13924951,17328100,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Rio_de_Janeiro/Gale%C3%A3o_International_Airport,GIG,SBGL,"5,895,257","50,851",(2022)
128,Q865475,Santos Dumont Airport,SBRJ,SDU,6747815,-43.1625,-22.91,3,1323,9142393,10187401,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Santos_Dumont_Airport,SDU,SBRJ,"10,178,502","109,352",(2022)
129,Q2875945,São Carlos Airport,SDSC,QSC,254484,-47.90333,-21.87639,807,1460,0,1393,https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2022.csv,https://en.wikipedia.org/wiki/S%C3%A3o_Carlos_International_Airport,QSC,SDSC,126,"1,056",(2019)
130,Q3312807,São José dos Campos Airport,SBSJ,SJK,729737,-45.87111,-23.22889,647,2676,38401,201772,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_dos_Campos_Airport,SJK,SBSJ,"24,378","10,757",(2021)
